,review,rating
11,"this is not an actual replacement for the charger that comes with the fitbit flex. it does not have the reset button, which is critical for resetting your fitbit. this will only charge your device. if you have lost the original charger, you cannot use this to reset your device. while advertised only as a charger, i feel like it was misleading and irresponsible for the product description to omit this fact. you would think that their quality assurance process would include checking to make sure their product met oem specifications. very disappointed.",0.0
12,very easy to use right out of the box. plugged it in and transferred my whole hard drive to it!,1.0
13,"one word sums it up ""wow!""  i bought a the hddvd version of ""phantom of the opera"" plus i owned a regular dvd version.  when i compared them on the new hddvd player i could not get over the change in picture.  it was like watching this video on 35mm film.  the quality is excellent.  i have it connected to my in focus video projector on a 100"" screen.  i was totally blown away.  the unit i have for my sound system is a 7.1 denon which to me is perfect.  the new sound quality on the hddvd is also amazing.  running a regular dvd on this new hddvd unit is also better quality.  it is a win win situation.  i'm sure in time the price, like everything else, will come down.

you will not be disappointed in this unit.  if you have an hdtv you best get the hddvd player.  you will be missing a lot if you do not.  i would give this unit 100 stars if i could.  once your connected, it is easy to run.  the new features are also great and there is just so much to choose from.  happy watching!!!!!",1.0
14,"i really just wanted a rolling laptop bag (which does not seem to exist?), whereas this is a small suitcase that has sleeves for a couple laptops in the top.  i generally have the bag empty and two laptops in the sleeves, which means the ""door"" is really heavy and there is nothing underneath holding up the weight, which puts a lot of stress on the zipper.  also, i'm using it every day to schlep these darned (heavy) laptops around, so it is getting a lot of use.  i'm not sure how long the zipper will last, so i might switch to putting the laptops in the body of the suitcase.  all in all, though, it looks good, holds laptops easily, rolls well, handle extends and collapses readily, etc.  for the price, it is better than i expected.",1.0
15,"drive failed after around 8 months of use. during that 8 months, it was perfectly reliable, but now i've lost all my data. i do not recommend this drive.",0.0
16,at first we were a little disappointed because it was not working with the tablet until we had to go and get an adapter to connect it. once we got the correct adapter it was great. so easy to use and so handy with our 7in tablet makes things much easier to type on the tablet. the stylus that comes with it is a downfall because it did not work at all with the tablet. other than that everything else is great.,1.0
17,"i've been using this desktop for a few months now and so far i have not had any problems with it- it is nice and efficient!
highly recommend doing business with seller. at the time i placed my order, by accident i order 2 instead of one  because i was buying several things at the time- i did not realized it until i received both! i contacted seller immediately and explained to him my situation, he was so understanding he even paid for return shipping!
highly recommend it! would give more stars if i could!",1.0
18,too narrow. they grip on the side of my face and are too tight and narrow. cannot loosen. will not be an issue for girls with narrow faces.,0.0
19,used this on my qsee 8 channel system.  there is zero night vision.  image quality is no as good as full size qsee cameras but for the price works great to monitor a room in my house.  sound has a slight hum to it but not bad.,1.0
20,"got finally working with my pc but did not communicate with car computer.
also used wireless version same results, got better mores expensive item that works.",0.0
21,"ordered it from topwireless.
took about 3 weeks until i got it, i do live in the netherlands in europe.

i like the htc flyer very much, it is good in all ways, and i use it more then my laptop now adays.

i't had a small dent when it arrived, which made me devistated.",1.0
22,"to clarify from the start, this is not a review of the entire camera itself, but rather an alert to potential buyers of the lumix zs25.  i just purchased the camera and discovered that it does not have stereo microphones as amazon's detailed description page clearly states!

this may not be a problem for some, but the zs19, zs20 and zs30 have stereo mics and i definitely wanted this feature in the zs25!  panasonic, what is wrong with you??  why would you offer this otherwise attractive camera with full hd video and not stereo audio??  i'm baffled by that one.

so do not take this as a review of the remaining features of the camera itself, but just beware that it records mono audio and the product description is a lie!",0.0
23,"received my first purple 8gb on 5/2/14. it was recognized on my mac and pc.  put it on my key chain, it failed on 5/11/14.  quickly received an 8 gb replacement on 5/14/14.  it was recognized on my mac and pc.  put it on my key chain, it failed on 5/18/14.  as of this date, 158 reviewers give it 5 stars, 108 reviewers give it 1 star, due to failure.  it must be the luck of the draw.  are you feeling lucky?",0.0
24,"used it maybe twice and then it broke by not reading any micro sd cards like if they were not inserted.
very cheap plastic and pcb.
i recommend getting the rocketek aluminum micro sd card reader for same price<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/rocketek-aluminum-usb-3-0-portable-memory-card-reader-adapter-for-micro-sd-card-tf-card-reader-adapter/dp/b06xtqzs4f/ref=cm_cr_arp_d_rvw_txt?ie=utf8"">rocketek aluminum usb 3.0 portable memory card reader adapter for micro sd card / tf card reader adapter</a>",0.0
25,so far 3 of the 5 cables are dead-on-arrival. one of them works only when i bend the cable just right. very strange. i've tested them in several devices and several usb ports.,0.0
26,"bought this in february 2017, but have only used it a few times.  i am about to use it with an hgst nas drive to stream movies across my network where it will get plenty of use and will report any issues.  reason i docked one star is that it is not picked up on my vostro 3550 with windows 10, whether on the 2.0 or 3.0 port.  nothing at all.  otherwise, it has worked well on my other computers.",1.0
27,the item i ordered was supposed to be in good condition but it was very scratched.,0.0
28,does not fit my model as advertised.  ordered over holiday did not know till i got home and opened it when it was too late to return,0.0
29,"frame was ok upon receipt. viewing angles are not very good but still i felt ok about the purchase. of course 2 days after the return window expired, a vertical pink line appeared down the middle of the frame. since i was not able to process a return, i went to the micca website and entered a service request. too bad they did not even feel compelled to respond. i have to recommend against purchasing this (or any product) from micca due to their lack of responsiveness, poor product quality, and apparent disinterest in customer satisfaction.",0.0
30,"the first thing is you need to realize that is a 17 inch laptop, so you cannot compare it to a 13 inch one.
for its size, its not that heavy. it is ok, for travelling for a short amount of time.
excellent for using it in a house or at work.
i carry mine around my house (in my bed, in the kitchen, in the terrace) and its very easy to transport.
the performance is great. i erase the windows vista it came with and upgraded to windows 7 and is working as a charm.  windows xp works great as well.
the screen is a delight!! as crisp as an lcd tv. and the blue ray works great.
no noise and not too much glare.
i love it when i'm using graphics software, specially my photo editing ones (a.photoshop)
the performance is great overall!! is a good buy!.
the only thing is the battery, that last a little less than 2 hours...
but other than that, it is a great buy!",1.0
31,"i have a client concerned about a reliable backup for his office server. over the past few years he had worn out two wd my books.

after some research, we settled on the synology disk station 2-bay, populating it with two 500gb drives in a mirrored configuration.

after setting it up, we installed it on the network, and it is been working flawlessly.

highly recommended.

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/synology-disk-station-2-bay-diskless-network-attached-storage-ds209-white/dp/b00275g0lo/ref=cm_cr_arp_d_rvw_txt?ie=utf8"">synology disk station 2-bay (diskless) network attached storage ds209 (white)</a>",1.0
32,"amazingly this works as advertised.  setup was simple and quick...no hassle.  in less than an hour i had everything installed and working.  the actual monitoring does not start until 3 days after you activate.  this is to allow you time for testing the system without notifying the police.  once that three days is up you will get an email telling you that your system is now fully monitored and the police will be notified in the event of an alarm breach.

the only complaint i have it that the extra horn we ordered would not work at first.  i opened it up and they had only installed 3 batteries (takes 4).  i added an extra battery and it still did not work.  the three that were in it were dead...after replacing those everything worked fine.  despite this slight inconvenience i still felt this was worthy of a 5-star rating due to the ease of setup and the basic fact that it works as advertised.",1.0
33,i loved it it worked perfectly fine and looked perfectly fine. it met my expectations and then some. really great.,1.0
34,"okay so by the time i got a chance to order the deal of the day the harman kardon headphones were sold out. so, they replaced them for this.  whoever made the decision to replace these headphones for the kardon's had to be sitting back laughing and thinking, ""i am going to straight piss some people of today!!!""
simply put the quality of this headphones is extremely cheap. i was highly anticipating my noise canceling headphones only to get them and find that the monitoring light ( that is supposed to turn red) does even work. when trying to use them as regular headphones i hear an unbelievable amount of static. amazon is messing up their  good name by putting these headphones on the website.",0.0
35,"a good basic adapter at a decent price.  i have not had it long, but it seems to work fine.",1.0
36,"i never write reviews but this thing has caused much frustration so i want to try and save others!! my husband bought this thing to use on our tv to stream netflix. should have read reviews first because this thing is awful! netflix worked for awhile, now every time we try to watch something an error message occurs. we have rebooted, uninstalled then re installed, updated ... everything, and nothing works. big fat waste of money!",0.0
37,i know it a looooooong time ago but my sister still have that and it is still good. she love purple and she like butterflies too.,1.0
38,"i have been using linksys wireless router since last 5 years. i have upgraded from my old one (which is still in excellent working condition) to the current wrt54gl which is more powerful version. i had to call the linksys customer care as one of my laptops was not connecting wireless. the linksys customer care personal made me walk through different troubleshooting steps patiently for more than an hour and finally got it fixed !! (the internet cable guy has changed my laptop mac ip auto find settings :()

its been 2 months now and it works great. i use three different laptops at home and they all connect at the same time at one point or other (my wife and kid use at same time) and still give a seamless connectivity. great product and great service !!",1.0
39,"as others have written, this cord halves the audio output. it has a terrible hum to it when you turn the volume up, and i lost all of the low end (bass) from the signal. would not recommend unless you are using cheap headphones.",0.0
40,"this is an incredible microscope. very high tech for the price. my 11 year old daughter and myself have really enjoyed collecting different small items to place under scope and are always in ""awww "" moment.",1.0
41,"after waiting the skin to settle, i was excited to try out the new skin on my note 8.  to my disappointment, the pen stroke are not smooth and requires much more force to write.  after trying several sketch apps with similar effects, i am peeling the skin off and going back the smooth penning with my stylus.

like other reviewers said, good for touch and good for protection but not good for stylus writing.
great instruction video and i would consider this brand for non-stylus surface.",0.0
42,this amp is a joke the 2000watt max is not even close. it barely moves my sundown subwoofer. have this amp turned all the way up and barely moving my 500 watt rms sub at 4 ohms. watched these amps clamped out only hitting 130watts. on top of all of that when i ordered this i originally had selected the d-class amp and reverted back to another amp.,0.0
43,"i bought this recorder to use as a audio journal and to jot down ideas for future writing projects. the folder function makes it easy to divide up these ideas and retrieve them.

i am pleased with the sound quality as i do not expect it to be recording studio quality.  it does the job for me.

i do agree with others about the issues with noise from handling, the small switches (i often have to put my glasses on to see the switches!), and the sudden battery popping out bit.

but all in all, i like the light weight, the features, and the amount of recording time.

much cheaper to buy this here than at best buy.",1.0
44,"just received this case and it is just right for my grandaughters kindle fire, now we do not have to worry abut it",1.0
45,this stereo did not work i waisted money on something that never worked i want my money back or a replacement!!!!!!!!!!,0.0
46,"go tthis for my 11 year old.  she loves the color and fits perfectly on her head.  also, sound leveling/reduced makes it so its not blasting in her ears.  she uses it for her computer and games.  better than in the ear headphones.",1.0
47,"i ordered the 16gb because i wanted to listen to music while i was running and i know i was going to listen to music if i was going to travel. i also got a heart rate monitor so i could monitor my heart while i was running and i got a foot pod even thought it has a gps and a pedometer.  this is the best sports watch/mp3 player in the market.  i ordered a blue tooth headset the jaybirdgear freedom sprint  that is sweat guaranteed.  i can schedule runs or just create runs on the fly.  you can also do interval runs so can either tap the watch to start one interval or the electronic voice will tell you when to start a mile and when to walk.

you also get a website login so you can dump all your running data and it will graph all of it so you can analyse it.  this watch is definitely ahead of all those so called smart watches.

you can get text messages,facebook messages and take phone calls via the watch, this via bloothtooth connection to you cell phone.",1.0
48,stopped working 1 day after i was able to return it.  after working great for 1 month all of my iphones say unsupported.,0.0
49,"the unit itself is fine, but . . . mine came without a usb cable and when i tried to contact the company i found out that none of the supplied numbers worked anymore and the e-mail address did not work either.  i called amazon and was finally told that the company had gone out of business in 2013.  if you get all of the pieces, it is a good unit for the price.  if you do not get all the pieces, there is no recourse other than returning it to amazon!",0.0
50,"works well and seems to be of good construction. my only gripe is that it is really deep. i first put it in a standard box but there was not the clearance at the back, so i had to go for a deep box to accommodate the wires.",1.0
51,it came in the mail and it worked for a day now it will not turn on,0.0
52,"i bought one not long ago, lost it at the gym... then bought this and i actually think it is better than the new one (was louder) and the accent was not in british english (which was the only option). sometimes it has static (this was same with the new one too, so i think it is something funky part of the product), not sure why (this is why it gets 4 stars instead of 5). regardless, i would recommend to get it and it is cheaper. the box was all original packaging too. i know they said it can be different packaging.",1.0
53,"as a new podcaster, this microphone is substantially much better then anticipated. provides high quality audio and very low background noice. was hoping for a higher quality stand but for the price, very good product!",1.0
54,"if you are looking for playing game in 4k 60hz with air cooling solution this one is the perfect card for this resolution the card is quiet and 2 way sli is the right choice for 4k gaming even one card in game like skyrim in single 4k monitor vsync on 60hz via dp v1.2 heavy moded you will get 60 fps or even more if vsync off  but sli is much better to avoid fps  rare drop only 2 or 3 fps will drop in skyrim most of the game runs great and in a playable fps but games like crysis or metro you will need 2 of this card

my rig is :

cpu / i7 4960x
ram / g skill trident x 2400 32gb
gpu / 1x evga geforce gtx 780ti 3gb classified , i will sli it later
motherboard / asus rampage iv black edition eatx ddr3 2133
psu / corsair ax1200i platinum",1.0
55,very difficult to get firmware updates from qlogic site. card crashes centos 7.2 when attached to fiber - reason unknown at this time.,0.0
56,"not the size pictured.  the one that i was shipped was a larger size (not pci-e?), so i had to cut off some metal to make it fit.  then it seems to have fried my computer.  took it out and my computer will not turn on now...",0.0
57,"very disappointing. the jack is too big to fit while i have a case on my phone. the remote only works sometimes to skip tracks. the shape-able cord that is supposed to keep the buds in your ear do not work very well. the little pamphlet that comes with them says they want to hear from you and want your 100% satisfaction, but when i sent them these concerns their response was, ""thank you for the feedback"". that is it.",0.0
58,"especially for the price.  it fits perfectly, looks great and feels like fine leather. it is well thought out as far as functionality. bends in all the right places. every cutout is exactly where it should be.. no pushing or squeezing to put the charger, or usb cables where they need to go. it is way better than i expected it to be for the price. definitely a keeper!!",1.0
59,i tried the headphones on and they were not snug at all.  they did not lay flat and would lift off my ears. i wish there was a way to adjust the looseness. i returned to get my money back.,0.0
60,"what a complete and total waste of money.  i would have expected better quality from linksys than this, particularly for $200.  it drops constantly, and needs to be rebooted daily, sometimes multiple times.  we are running two laptops (both about 40 feet away from the router), a roku (which we unplug most of the time to try to lessen any activity going through the router), two iphones, an ipad (off during the day), a samsung tab (off during the day) and a canon printer.  seems like it should have been able to handle it - the 5g disappears completely from the wireless network most of the time. we are not streaming video - we both work from home and are typically only accessing outlook, internet sites for research, and yahoo mail.  very disappointed in linksys - their phone support was no help at all - getting ready to purchase another router from a different vendor after not even six months of service.",0.0
61,"just got my google tv. was trying to set it up with an amp that did not have hdmi input. the sony google tv only has hdmi and optical output. was depressed - pretty sure i could not get google tv to work without needing to replace my amp. as a last attempt, looked at the back of my amp and was delighted to see that it accepted optical input....

ordered this cable for < $3 and set thing up - everything works beautifully! great sound quality!",1.0
62,not sticky enough.  i bought another hassle free protector (different brand) for a galaxy tab and it was much better than this.  they do give you everything you need to clean the screen and install it properly but it peels up much too easy.  i have not had one problem with the protector on my other tablet.  i would not buy this product again.,0.0
63,"great product but itty bitty. i'm afraid i'll lose it somewhere so i keep it plugged into my galaxy tab usb adapter. this thing is very tiny which is good if you are conserving space but problematic as you would never know it fell out of your pocket, bag, pouch, etc. if you get this, keep it handy or someone else will find it on an airport floor.",1.0
64,"this thing worked ok the first few months, then it started getting spotty with my iphone. not the phone because it worked on wifi verywhere but my house. then other devices started having issues and i knew we had a problem. i tried relocating it, spent money and time on new wires and installs and nothing. finally switched back to a netgear setup and once again have excellent connection all through my house. also worth noting the 5ghz channel was almost never usable on this thing as one plaster wall is enough to make it unstable. the netgear signal blasts right through. never again will i fall for saving 40 bucks taking a chance in some off brand crap that will become $70 garbage a year later. do not waste your money. you can do significantly better for slightly more.",0.0
65,"i am not pleased with the product at all.  it worked like advertised twice,  the third time i could not change/update titles nor could i add their supplied sound.  attempting to add sound would create a major problem and athe status would flicker and quit responding.  after a number of uninstalls and reinstalls i avoided the above problems and it would not render at all, just sit there.  i have checked the q&a sections without fnding any resolution.  i have e-mailed and have not received even a hello.  i do not believe thay are customer orientated at all.  i would not recommed this product unless you are very good at debugging commerical software.",0.0
66,"readily paired with my macbook air, but not with my moto droid x.
sound quality is substandard at best. this is absolutely useless for music.
cheap- but still a complete waist of money.",0.0
67,"i tried using the solar charger without batteries, and after charging for about 8 hours in full summer florida sun, it only ran 20 minutes.  the plastic hand crank is very flimsy and it takes forever to get a charge that lasts for more than 5 minutes.  the tuner made it hard to lock on a station and reception was very poor, even for local stations.",0.0
68,"i believe i received a defective product.  the connection to audio jack is a joke.  when walking and listening to music on my phone, either the right or left side will cut out, and i'll have to wiggle the wire to get it to come back.  really annoying.  also while listening at my desk i've gotten a slight shock.",0.0
69,"this headphones make a mess when you try to retract them. you have to pull both sides, feel for the right tension and then feed it back on to the wheel. it get's knotted and never retracts all the way back in, leaving at least two or more inches dangling. super frustrating.",0.0
70,"the picture quality was terrible. the audio is so low you have to put your ear up to the headrest to hear anything. they produce a really loud static-like sound when earphones are used. av2 has no audio. the look of the product is not bad. the product in general is not good and i would not recommend them to anyone. they are bad even for the cheap price! the ones that attach to your seats are a much better quality all around, that upsets me.",0.0
71,"this was cheap, so i thought i would give it a shot, no go.  this thing doesnt do the job.  spend the extra cash for a better product.",0.0
72,"the new roku 3 is a significant upgrade from the roku streaming stick i used for the last 6 months. the device is still very small, but its navigation response times are far faster, and i like having the option of a wired internet connection.

the headphones feature has also been surprisingly awesome. i did not care about the feature when i bought this product, but the audio quality on it is great and i now find myself using it all the time (e.g., when someone is trying to sleep in a nearby room). as another reviewer said, ""it is the solution to the problem you did not know you had.""  one downside: the provided headphones are awkward to place in your ears and can screw with the audio quality, but you can easily swap those out.

overall a great upgrade; nice work roku.",1.0
73,"do not waste your money on this product. not user friendly, difficult to install. i would speculate they are sold in threes so you can get one to almost work.",0.0
74,works well. the click is silent and the entire mouse is smooth.  very happy with my purchase.,1.0
75,"arrived way sooner than expected, was in perfect condition! as a professional photographer in a digital world, i cannot wait to try my hand at film again. it has been many years since i used a film camera and now with the knowledge i have, i am super excited to have this in my possession!",1.0
76,"this is not an audio convertor. although the title clearly says it is a stereo cable, the description fits an audio convertor, which had me confused and i ended up buying a product i did not need.",0.0
77,"had doubts about this product due to its price, but decided to purchase anyway.

product packaging is thin and includes 2 small phillips screws and the msata ssd.

fits inside drobo's msata accelerator bay, but not compatible or recognized by the system.

thank you, amazon for accepting my return request.",0.0
78,"poor image quality in a lot of issues not really happy with this
 item. picture quality is really bad bad",0.0
79,"although this gps is well made and most importantly waterproof it is difficult for a novice like myself to use. the instructions are confusing and without spending a lot of time experimenting with instructions in hand it will take a lot of time to master. the back light is rather weak even in total darkness. it would be well worth the money to spend more on a more user friendly gps with a color screen with more points of reference such as rivers, roads, towns, etc.",0.0
80,"this is the second one i bought!  love the look, and the feel!  both units started uncontrolable double clicking after apx year!  i tried to adjust the click with my computer, with no good results on the first unit!  i was hoping it was a fluke, and ordered this one. unfortunately this mouse did exactly the same!  would delete two messages instead of one!  looks cool, but does not work long enough to justify the money!",0.0
81,"these discs are worthless. half of them do not work. they are not balanced well, and cause your burner to hum,whine and wobble. avoid them like the plague",0.0
82,"i really liked the headphones, they are light and comfortable, and i do not even feel them while walking. the sound is pretty good too, setup was easy, and initially was happy.

the problem came when i tried to use them while walking, the sound kept cutting in and out. if i had my iphone7 in my hand or breast pocket, there was no sound issues, but as soon as it went in my back pocket, it started cutting out again.
i contacted skullcandy for support who gave me some troubleshooting to do. i tried the steps and no improvement.
they provided more steps which involved leaving the headphones powered off for 24hrs. this is where i started to get annoyed as they refused to advise why i needed to leave them for 24hrs. i asked 3 times for the reasons behind this. i have done technical support in one for or another for 18yrs and know that this is just a fob off.

i ended up returning the headphones to he point of purchase for a refund.",0.0
83,"i've tried many wireless bluetooth headsets and this is by far the best.  i'm a truck driver and when i talk to someone they cannot hear any of the background noise from the truck and i can hear them perfectly.  it is also so comfortable that i often forget i'm wearing it.
update on 3/8/2016.  i really hate this bluetooth.  i thought it was just like my voyager legend but it is not.  it does not talk to you to tell you it is on or needs charging or to say you are getting a call, nothing.  the legend tells you if it needs to be recharged.  this one will just turn off without notification.  it sucks and i do not even use it.  i bought two more of the legends recently and will only use them.  on the legend you can push a button and it tells you how much talk time you have left before needing to be charged and it also announces who is calling.  this one just does not talk at all.",0.0
84,"beware!!
this charger is specified at 15v output (see the features listed in the item's description on this page above), while the philips qg3330, for example, is rated at 4.3v (stamped on the shaver body). philips has a variety of shavers/trimmers, some of them indeed require 15v to charge, but some do not! in short, you need to match the charger to the device.

this is totally irresponsible of amazon, after people complaining that the charger overheats and destroys the trimmer's battery, to still list erroneous compatibility list that kills attached devices.",0.0
85,"i replaced an old monoproce 4 port switch with this one as i was having trouble with the output with my uverse receiver and ps3.  after replacing it with the kinivo, i have clear and stable pictures and everything switches great.

the only con i have are the ports on the sides.  i'd rather have all the ports on the back.",1.0
86,"first, i never rate anything 5 stars because there is always room for improvement. i purchased this to replace my nexus10, since wifi is not currently working with recent updates. this serves its purpose. 95% of what i do for work and leisure is on the internet. it boots in seconds and is very snappy. if opening a large file, do not expect it to run like your jacked up desktop( but that is why it is less money). this also serves as my laptop. any word processing can be handled through google docs, and is not a problem if you are familiar with google products. if you are not it may take a little learning as with anything new. overall great buy for the money and serves the purpose needed. i do not know if there is a need to buy a more expensive chromebook.",1.0
87,"i never review products but this headset is the absolute worst. since march i've gone through three of these headsets. my work honestly needs to invest in a better quality headset. when they work they are fine but after a month or two i can only hear out of one headphone and the wiring in the cord seems to create a lot of the issues. if the cord moves, i hang up on customers. if you are looking to purchase these, splurge on a higher quality headset.",0.0
88,"ipad arrived and appeared new in packaging.  however, the 16gb ipad only had 6.1gb of space available. tons of pictures already on it, and we could not delete them.  also, it had tons of apps installed that were not listed in the descruption on the website.  we could not delete the apps or open them.",0.0
89,"i've had  3 panasonic tg2730 for  over 4 years .the origal panasonic batteries will not last  9 months . the energizer bunny is definitely the best, i can  get  almost  2 years  service out  of  the er-p511 .i  find  dbroth to  have  the  best prices ,other places over charge on the  shippping.

ben",1.0
90,"i searched for iphone chargers braided and scrolled to a color i liked. i bought it not even thinking i should check to make sure that it was, in fact, for an iphone... i feel like this is probably more of an amazon problem, then a product problem. it was not worth it to return it because of the shipping. i did end up using them and randomly 2 of my few items stopped working. it could have just been a coincidence though.",0.0
91,"i have my own tech business and use multiple drives i have one for my mac programs, one for windows, and also install usb and this helped out so much and i would be purchasing more in the future",1.0
92,"i found that sharp vlz7u is good enough for me.  i normally use it for record the activity around my house.  i chose this model because of its swivel grip.  it gives me convenient in many recording angle (e.g. over the head and low angle view).
the thing i like about this camcorder are:
  -  1.3mp photo shot
  -  built in flash (for camera mode)
  -  terminal for zoom mic (though i cannot find sharp's zoom mic available anywhere at this time)
  -  and other features that should be available in other camcorder (e.g. 10x zoom, digital effect, stabilizer, etc)
the things i want to have in the camcorder (though it is not a big deal to me) are:
  -  microphone input
  -  night shot mode
since this is my first camcorder, i do not know if other camcorder have better picture quality or not.  but it looks good to me both on tv and after captured onto computer.
for home movie, outdoor/indoor activity, events, you will love this camcorder.  for those who look for high quality picture, or professional movie, you probably should go for other model.",1.0
93,the wifi was constantly disconnecting and the worst part is none of my usb drives would not recognize it. my first disappoint from sandisk.,0.0
94,"worked well-very convenient--just remember it is not a converter or transformer.  items that are dual current such as cell phones, camera chargers etc. fit plugs and are very convenient.",1.0
95,"these are garbage. purchased 3 different pairs for my kids to use with their tablets (frozen, spiderman, tmnt) they are all junk. sound is so low you can barely even hear anything. i tried them out on a bunch of different devices so i know it was not an issue with the kids tablets. do not buy these, they are usless!",0.0
96,"i can only get 3 channels to work properly.
i either do not get reception for other channels or the signal is choppy at best.
waste of money.",0.0
97,"we bought these for use on camping trips with our grandchildren and for kayaking. at this time, i have only used them once on a camping trip. they worked very well. i did not measure distances, but they worked well for our purposes.

the only problem i have with this product is that one of the holster broke as soon as i took it out of the box.",1.0
98,"hey, if you want to get great quality sound from your mp3s and other music files, use this great device called the hifi-link from xitel. i get terrific quality sound using this little dac device...great value. i travel with it also. i can plug it into my stereo speakers at home or my boombox when i'm on the road and hear my mp3s with crystal clear sound.",1.0
99,item broke after three wearings.  was not even tight. cheaply made. do not waste your money. go to a fabric store and purchase materials to make your own. disappointed.,0.0
100,"ordered this radio on accident but absolutely love it and have bought two more since.  excellent quality for the price.  long battery life, too.",1.0
101,"good camera, but the mount design limits applications. on the unit i received, the mount angle is too limited to attach to my window. had to purchase a $20 suction cup mount. application: 2008 subaru

edit: after using for a month, i noted the following issues: 1) every 4-5 starts, i'd have to reset the time/date before it would start auto-recording. all settings would be lost 2) even after setting time/date, unit would occasionally not auto-record. maybe i just got a lemon, but returned my unit. i liked the unit, other than the mount design & time issues.",0.0
102,"i bought this after my first headset, a motorola, began to fail. although the behind-the-ear piece is a bit large, it only took a couple of tries to get used to putting it on, and it is second nature now. i cannot get over how comfortable this unit is -- i'm typically on the phone for up to 2-3 hours a day, and this unit just seems like it is not there (with my old motorola, anything over an hour was a trial).

the noise-cancelling ability of this headset is excellent, as is the voice quality through its earpiece. the mini-usb connection for charging is a bit hard to work with, but i love the fact that the included cord lets me charge the unit from any usb port. all i can say is that if i lost this one, i would buy another one just like it.",1.0
103,"no more annoying commercials. no more listening to that no no add.  no more aflaaaaack,  no more - well no more anything i do not want to hear.",1.0
104,"i originally purchased these batteries in january 2012. all three sets worked fine for the first year, but two of the three began to fail shortly thereafter.  they would no longer hold a charge beyond twenty minutes usage and then they would die right in the middle of your conversation while on the phone. for some odd reason, one of the battery packs continues to work just fine.  i can talk on the phone for over two hours at a time with no problems.  i would not recommend this brand of batteries, (fenzer), as replacements.  i did order another three set from the same seller and received a different brand this time.  so far, they seem to be holding up well.  i just hope the new ones purchased on march 9, 2015 hold up longer than a year.",0.0
